Employee_ID_No,First_Name,Last_Name,Age,Biological_Sex,Prior_Experience,Job_Rank,Efficiency_Factor_Obs, Hourly_Wage ,Hours_Worked,Pay_Amount
1042,Katelyn,Sandoval,30,Female,1.92,Associate,2.5,19.87,20.48,406.9376
1095,Tracy,Huang,25,Female,1.11,Entry,1.5,25.13,6.31,158.5703
1119,Shaunna,Alfaro,24,Female,0.19,Entry,0.4,30.24,17.84,539.4816
1353,Denise,Portillo,27,Female,0.67,Entry,3.5,20.55,24.6,505.53
1401,Andy,Webb,37,Male,1.12,Ast. Manager,4.7,24.29,42.35,1028.6815
1502,Herman,Riley,32,Male,0.63,Entry,0.9,22.13,20.25,448.1325
1526,Nathanial,Beasley,35,Male,0.51,Entry,4.7,32.52,18,585.36
1592,Keziah,Duncan,20,Female,1,Ast. Manager,4.4,25.76,16.85,434.056
1637,Macy,Watson,38,Female,0.57,Ast. Manager,5.5,29.89,40.89,1222.2021
1874,Zidan,Mair,25,Male,1.09,Entry,1,18.57,18.54,344.2878
1903,Blair,Bradford,21,Female,1.47,Entry,2.2,31.97,15.46,494.2562
1909,Theon,Buck,31,Male,2.05,Associate,0.6,32.91,25.71,846.1161
2026,Aria,Ewing,36,Female,1.77,Ast. Manager,7.7,29.02,41.83,1213.9066
2176,Willow,Weeks,21,Male,0.18,Associate,0.1,34.28,13.49,462.4372
2259,Aoife,Cunningham,35,Female,1.9,Ast. Manager,4,32.04,44.08,1412.3232
2262,Cassandra,Burch,32,Female,0.42,Entry,1.9,29.87,27.98,835.7626
2265,Lesley,Haines,20,Female,1.1,Entry,1.2,22.85,16.29,372.2265
2622,Christopher,Morales,28,Male,1.96,Entry,1.7,19.11,17.83,340.7313
3078,Carmen,Bond,29,Female,1.52,Entry,2.8,16.34,26.26,429.0884
3198,Hamaad,Rose,34,Male,0.65,Entry,1.1,19.46,25.68,499.7328
3287,Dianne,Bewer,27,Female,0.79,Entry,3.1,33.17,26.55,880.6635
3324,Margie,Chase,32,Female,0.58,Ast. Manager,6,34.12,47.14,1608.4168
3621,Tommie,Drummond,33,Male,1.78,Associate,2.3,17.72,43.69,774.1868
3704,Darin,Compton,35,Male,1.82,Associate,2.5,24.85,26.45,657.2825
4012,Coco,Wolfe,20,Female,1.25,Associate,1.8,19.06,14.23,271.2238
4290,Jadon,Tran,23,Male,1.67,Associate,3.7,35.35,13.56,479.346
4317,Samia,McLellan,36,Female,2.43,Associate,3,18.45,22.76,419.922
4354,Leslie,Villegas,32,Female,0.64,Entry,0.8,30.45,36.51,1111.7295
4396,Nettie,Terry,30,Female,1.77,Entry,4.6,29.38,37.41,1099.1058
4417,Michelle,Compton,31,Female,0.93,Entry,2.3,25.76,28.74,740.3424
4579,Reeva,Stephenson,22,Female,1.73,Entry,3.6,18.74,14.79,277.1646
4827,Ravinder,Farmer,30,Male,2.17,Associate,1.7,28.04,38.35,1075.334
4961,Doris,Gates,31,Female,1.42,Associate,4.4,18.47,20.61,380.6667
4977,Catrin,Hayes,27,Male,0.7,Entry,1.7,20.13,25.64,516.1332
4981,Kasim,Hackett,30,Male,1.45,Ast. Manager,6.5,29.78,53.92,1605.7376
5490,Ronald,Mercer,35,Male,2.31,Associate,4.1,14.26,36.73,523.7698
5596,Raife,Coffey,20,Male,0.5,Ast. Manager,6.5,30.48,12.78,389.5344
5711,Aryan,Vance,24,Male,1.32,Entry,2.7,14.86,15.89,236.1254
5854,Lillie,Lim,28,Female,0.95,Entry,2,18.57,18.54,344.2878
5865,Selin,Ford,22,Male,0.1,Associate,5.3,18.96,15.22,288.5712
5884,Shelbie,Best,29,Female,2.24,Entry,0.9,18.5,17.33,320.605
6746,Kiaan,Watt,21,Male,0.49,Ast. Manager,3.8,28.42,22.82,648.5444
6843,Brittany,Wilkinson,23,Female,0.8,Entry,1.7,22.21,15.26,338.9246
